"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside.Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location.1","Premise","Total.Incidents"
"293","08/31/2017","00:47:00","4E","4900 EASTERN AV","COMMON ASSAULT","O","HANDS",242,"SOUTHEASTERN","Greektown",-76.55422,39.28706,"(39.2870600000, -76.5542200000)","STREET",1
"294","08/31/2017","00:12:00","5A","2300 ROUND RD","BURGLARY","","",922,"SOUTHERN","Cherry Hill",-76.62643,39.25334,"(39.2533400000, -76.6264300000)","",1
"295","08/31/2017","00:09:00","5A","400 S PULASKI ST","BURGLARY","","",934,"SOUTHWESTERN","Carrollton Ridge",-76.64973,39.2827,"(39.2827000000, -76.6497300000)","",1
"296","08/31/2017","00:08:00","4E","4900 GOODNOW RD","COMMON ASSAULT","","HANDS",443,"NORTHEASTERN","Frankford",-76.54808,39.32649,"(39.3264900000, -76.5480800000)","",1
"297","08/31/2017","00:00:00","4F","3300 TIOGA PKWY","ASSAULT BY THREAT","I","",611,"NORTHWESTERN","Burleith-Leighton",-76.65745,39.31885,"(39.3188500000, -76.6574500000)","ROW/TOWNHO",1
"298","08/30/2017","23:16:00","3AF","400 NORTH BEND RD","ROBBERY - STREET","O","FIREARM",823,"SOUTHWESTERN","Westgate",-76.70771,39.28393,"(39.2839300000, -76.7077100000)","STREET",1
"299","08/30/2017","23:03:00","3AF","PL & E MT VERNON PL","ROBBERY - STREET","O","FIREARM",142,"CENTRAL","Mount Vernon",-76.61584,39.29771,"(39.2977100000, -76.6158400000)","STREET",1
"300","08/30/2017","23:00:00","6D","1900 W PRATT ST","LARCENY FROM AUTO","","",934,"SOUTHERN","Carrollton Ridge",-76.6477,39.28515,"(39.2851500000, -76.6477000000)","",1
"301","08/30/2017","23:00:00","6D","200 E 22ND ST","LARCENY FROM AUTO","O","",514,"NORTHERN","Barclay",-76.61316,39.3144,"(39.3144000000, -76.6131600000)","STREET",1
"302","08/30/2017","23:00:00","6D","4000 BARRINGTON RD","LARCENY FROM AUTO","O","",621,"NORTHWESTERN","Dorchester",-76.6851,39.33136,"(39.3313600000, -76.6851000000)","STREET",1
"303","08/30/2017","22:43:00","6G","700 S PRESIDENT ST","LARCENY","I","",211,"SOUTHEASTERN","Inner Harbor",-76.60131,39.28285,"(39.2828500000, -76.6013100000)","RESTAURANT",1
