"","LEA_NAME","SCH_NAME","isCHARTER","PK","KG","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","LEVEL","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","raceAMERIND","raceASIAN","raceBLACK","raceHI","numberHispanic","numberTR","LEAID","aun2","NCESSCH","ST_LEAID"
"598","South Western SD","Markle Intrmd Sch","No","-2","-2","-2","-2","-2","-2","-2","348","326","323","-2","-2","-2","-2","-2","2","No","Hanover","997","17331","32.497492477432296","Regular School","324","17537","636","19487","10296",39.785265,-76.961268,"96.06","64.90","901","0","20","20","39","1","16","4222470","1126764031126","422247006641","112676403"
"599","East Penn SD","Emmaus HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","697","675","632","615","-2","3","No","Emmaus","2619","18049","24.169530355097365","Regular School","633","37069","5328","39672","22448",40.534415,-75.505637,"94.84","78.70","2091","1","153","113","226","0","35","4208550","1213923031213","420855002809","121392303"
"600","Shikellamy SD","Priestley Sch","No","-2","59","62","70","68","78","72","56","-2","-2","-2","-2","-2","-2","-2","1","No","Northumberland","465","17857","56.12903225806452","Regular School","261","13977","621","16295","9595",40.902739,-76.811366,"95.35","74.16","393","0","2","5","48","2","15","4221540","1164966031164","422154003549","116496603"
"601","Cumberland Valley SD","Middlesex El Sch","No","-2","54","56","62","73","75","87","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Carlisle","407","17013","40.54054054054054","Regular School","165","39567","5504","41825","22959",40.25681,-77.13956,"95.81","65.38","344","0","14","16","17","1","15","4207110","1152116031152","420711001697","115211603"
"602","Perkiomen Valley SD","Evergreen El Sch","No","-2","84","90","101","100","95","98","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Collegeville","568","19426","10.563380281690099","Regular School","60","24408","3396","26132","12508",40.220393,-75.463253,"NA","NA","483","0","36","19","23","1","6","4218930","1234661031234","421893000232","123466103"
"603","Harrisburg City SD","Benjamin Franklin Sch","No","-2","169","168","186","156","142","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Harrisburg","821","17110","83.19123020706455","Regular School","683","24137","9097","30641","19981",40.269909,-76.885655,NA,NA,"36","2","43","561","156","0","23","4211580","1152227521152","421158007501","115222752"
"604","Bristol Township SD","Devine El Sch","No","-2","54","83","74","61","73","63","72","-2","-2","-2","-2","-2","-2","-2","1","No","Levittown","480","19057","59.375","Regular School","285","32835","6020","37338","19440",40.136559,-74.853631,NA,NA,"415","3","2","26","29","0","5","4204230","1220913521220","420423001017","122091352"
"605","West Phila. Achievement CES","West Phila. Achievement CES","Yes","-2","145","136","119","113","98","91","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","702","19151","-0.14245014245014201","Regular School","-1","NA","NA","NA","NA",39.97041,-75.254151,"NA","NA","0","0","0","698","2","0","2","4200105","1265100061265","420010500657","126510006"
"606","Avon Grove SD","Fred S Engle MS","No","-2","-2","-2","-2","-2","-2","-2","-2","391","414","-2","-2","-2","-2","-2","2","No","West Grove","805","19390","22.236024844720497","Regular School","179","18242","5238","20696","10662",39.81457,-75.81361,"95.56","70.89","590","0","15","17","163","0","20","4202790","1241505031241","420279005216","124150503"
"607","Bethlehem Area SD","William Penn El Sch","No","-2","41","36","46","34","44","35","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bethlehem","236","18018","76.694915254237202","Regular School","181","70992","23674","79240","44762",40.62806,-75.38108,"95.05","56.52","79","1","1","27","109","0","19","4203570","1204810021204","420357006634","120481002"
"608","Agora Cyber CS","Agora Cyber CS","Yes","-2","171","312","339","370","408","401","486","664","713","936","1209","1136","1008","-2","4","No","King of Prussia","8153","19406","-1.22654237703913E-2","Regular School","-1","NA","NA","NA","NA",40.093469,-75.412347,"NA","NA","4963","39","77","2250","687","23","114","4200140","1265100201265","420014000896","126510020"
"609","West York Area SD","Loucks El Sch","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"York",NA,"17404","?","Regular School",NA,"14997","1293","16793","9532",39.953246,-76.748244,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4225980","1126785031126","422598004627","112678503"
"610","Coatesville Area SD","Caln El Sch","No","-2","106","95","86","88","84","97","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Thorndale","556","19372","63.848920863309303","Regular School","355","39101","6662","43528","23329",39.996085,-75.750378,"92.31","40","194","0","8","183","137","0","34","4206240","1241519021241","420624001376","124151902"
"611","Northern York County SD","Northern El Sch","No","-2","59","49","58","66","49","55","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Dillsburg","336","17019","35.416666666666664","Regular School","119","14215","644","15707","8427",40.094808,-77.029559,"95.64","63.06","297","1","13","5","14","0","6","4217760","1156746031156","421776004581","115674603"
"612","Philadelphia City SD","Fell D Newlin Sch","No","-2","44","52","63","76","61","66","68","55","67","-2","-2","-2","-2","-2","1","No","Philadelphia","552","19148","100","Regular School","552","855213","325401","1035252","582594",39.915519,-75.163403,"NA","NA","126","1","224","68","96","0","37","4218990","1265150011265","421899003639","126515001"
"613","Hazleton Area SD","Maple Manor El/MS","No","-2","-2","-2","-2","123","135","119","118","127","124","-2","-2","-2","-2","-2","1","No","Hazle Township","746","18202","100","Regular School","746","42540","16452","49823","28188",40.970476,-75.996609,NA,NA,"136","0","4","17","586","0","3","4211700","1184033021184","421170007527","118403302"
"614","Philadelphia City SD","Hamilton Andrew Sch","No","-2","62","61","61","63","66","55","78","62","63","-2","-2","-2","-2","-2","1","No","Philadelphia","571","19139","100","Regular School","571","855213","325401","1035252","582594",39.955413,-75.235702,"90.52","24.28","10","2","2","512","7","0","38","4218990","1265150011265","421899005185","126515001"
"615","Upper Perkiomen SD","Marlborough El Sch","No","-2","110","131","119","100","133","131","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Green Lane","724","18054","29.143646408839778","Regular School","211","14652","558","15874","8588",40.345462,-75.480686,NA,NA,"643","1","12","24","33","0","11","4224540","1234686031234","422454009968","123468603"
"616","Bensalem Township SD","Robert K Shafer MS","No","-2","-2","-2","-2","-2","-2","-2","-2","245","253","-2","-2","-2","-2","-2","2","No","Bensalem","498","19020","57.2289156626506","Regular School","285","39410","12419","43074","23646",40.100487,-74.938463,"93.68","58.75","280","1","58","67","90","0","2","4203330","1220910021220","420333007030","122091002"
"617","Bethlehem Area SD","Spring Garden El Sch","No","-2","73","81","74","100","96","97","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bethlehem","521","18017","39.923224568138103","Regular School","208","70992","23674","79240","44762",40.647698,-75.359481,"96.27","68.34","326","2","24","47","114","0","8","4203570","1204810021204","420357003452","120481002"
"618","Philadelphia City SD","Girls HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","347","267","225","312","-2","3","Yes","Philadelphia","1151","19141","100","Regular School","1151","855213","325401","1035252","582594",40.038355,-75.146191,"91.35","91.74","48","0","192","755","112","0","44","4218990","1265150011265","421899003843","126515001"
"619","North Penn SD","York Avenue El Sch","No","-2","35","43","53","24","47","50","44","-2","-2","-2","-2","-2","-2","-2","1","No","Lansdale","296","19446","33.445945945945901","Regular School","99","68031","17577","72148","39113",40.244461,-75.295994,"96.21","81.94","228","0","20","16","16","1","15","4217280","1234657021234","421728003278","123465702"
"620","Bristol Township SD","Lincoln El Sch","No","-2","50","48","58","58","58","59","45","-2","-2","-2","-2","-2","-2","-2","1","No","Levittown","376","19056","69.414893617021207","Regular School","261","32835","6020","37338","19440",40.133631,-74.880502,"NA","NA","198","1","7","91","38","0","41","4204230","1220913521220","420423001024","122091352"
"621","Jim Thorpe Area SD","Jim Thorpe Area HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","179","143","147","118","-2","3","No","Jim Thorpe","587","18229","51.788756388415671","Regular School","304","10278","847","11043","5983",40.87987,-75.72501,"91.84","79.69","440","2","6","58","75","1","5","4212540","1211350031211","421254001307","121135003"
"622","Bethlehem Area SD","Nitschmann MS","No","-2","-2","-2","-2","-2","-2","-2","257","265","251","-2","-2","-2","-2","-2","2","No","Bethlehem","773","18018","41.6558861578266","Regular School","322","70992","23674","79240","44762",40.625801,-75.395556,"96.45","68.599999999999994","467","2","41","68","171","1","23","4203570","1204810021204","420357003463","120481002"
