"","LEA_NAME","SCH_NAME","isCHARTER","PK","KG","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","LEVEL","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","raceAMERIND","raceASIAN","raceBLACK","raceHI","numberHispanic","numberTR","LEAID","aun2","NCESSCH","ST_LEAID"
"1","Haverford Township SD","Coopertown El Sch","No","-2","57","85","77","73","77","77","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bryn Mawr","446","19010","7.623318385650224","Regular School","34","31744","3930","32804","17450",40.008974,-75.328232,"96.28","86.36","371","0","18","23","17","0","17","4211670","1252345021252","421167001877","125234502"
"2","Northampton Area SD","Lehigh El Sch","No","-2","67","82","89","93","103","75","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Walnutport","509","18088","24.95088408644401","Regular School","127","27541","2082","30492","16364",40.763783,-75.535033,"96.31","72.59","473","0","3","6","26","0","1","4217370","1204849031204","421737003499","120484903"
"3","Central Columbia SD","Central Columbia El Sch","No","-2","141","125","127","140","147","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bloomsburg","680","17815","35.588235294117645","Regular School","242","9808","513","10812","6104",41.021005,-76.365855,NA,NA,"619","2","17","10","18","0","14","4205370","1161915031161","420537007260","116191503"
"4","Pocono Mountain SD","Swiftwater Interm Sch","No","-2","-2","-2","-2","-2","260","304","312","-2","-2","-2","-2","-2","-2","-2","2","No","Swiftwater","876","18370","50.913242009132418","Regular School","446","38356","10275","42805","21387",41.100606,-75.326285,NA,NA,"544","2","14","155","160","1","0","4219500","1204554031204","421950007503","120455403"
"5","Solanco SD","Solanco HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","299","319","276","179","-2","3","No","Quarryville","1073","17566","37.18546132339236","Regular School","399","16052","6082","20529","10960",39.866938,-76.154098,"92.86","68.84","964","1","7","29","65","0","7","4221810","1133670031133","422181002658","113367003"
"6","Wilkes-Barre Area SD","Dr David W Kistler El Sch","No","-2","141","139","141","133","138","120","141","-2","-2","-2","-2","-2","-2","-2","1","No","Wilkes Barre","953","18702","100","Regular School","953","34249","7130","39729","23215",41.240472,-75.910851,"93.68","42.38","337","0","11","218","283","0","104","4226300","1184088521184","422630006924","118408852"
"7","Central Bucks SD","Central Bucks HS-South","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","570","620","608","-2","3","No","Warrington","1798","18976","8.5094549499443808","Regular School","153","76834","10617","80091","41650",40.26255,-75.16142,"NA","NA","1569","1","119","40","47","0","22","4205310","1220921021220","420531000785","122092102"
"8","South Western SD","South Western SHS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","292","327","269","308","-2","3","No","Hanover","1196","17331","29.682274247491637","Regular School","355","17537","636","19487","10296",39.787549,-76.958673,"95.45","83.83","1056","4","32","47","39","1","17","4222470","1126764031126","422247004608","112676403"
"9","Souderton Area SD","Indian Crest MS","No","-2","-2","-2","-2","-2","-2","-2","261","275","267","-2","-2","-2","-2","-2","2","No","Souderton","803","18964","28.019925280199253","Regular School","225","29640","4575","32059","16928",40.316589,-75.334936,NA,NA,"622","1","47","32","90","0","11","4221870","1234671031234","422187004721","123467103"
"10","Methacton SD","Woodland El Sch","No","-2","42","66","64","55","53","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Norristown","280","19403","15.357142857142858","Regular School","43","23643","6024","24887","12277",40.136395,-75.405464,"96.58","80.33","211","0","24","5","19","0","21","4214250","1234653031234","421425005252","123465303"
"11","Bangor Area SD","Bangor Area HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","258","241","255","260","-2","3","No","Bangor","1014","18013","37.08086785009862","Regular School","376","14496","1149","16318","8446",40.884859,-75.1506,"93.76","77.29","915","0","14","26","52","0","7","4203000","1204808031204","420300003434","120480803"
"12","Twin Valley SD","Robeson El Ctr","No","-2","79","76","83","79","83","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Birdsboro","400","19508","30","Regular School","120","15147","1766","16813","8850",40.244478,-75.869781,"NA","NA","374","1","0","5","7","0","13","4224000","1140681031140","422400000868","114068103"
"13","Cheltenham Township SD","Cheltenham HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","345","346","353","318","-2","3","No","Wyncote","1362","19095","29.809104258443465","Regular School","406","23992","5747","25133","14349",40.086761,-75.160269,"94.23","74.23","470","4","110","711","57","0","10","4205760","1234613021234","420576003260","123461302"
"14","Eastern Lancaster County SD","New Holland Elementary","No","-2","69","80","79","87","95","85","64","-2","-2","-2","-2","-2","-2","-2","1","No","New Holland","559","17557","44.00715563506261","Regular School","246","14933","8076","20802","10967",40.083818,-76.071481,"95.69","65.73","413","0","11","27","88","0","20","4208820","1133623031133","420882004707","113362303"
"15","Souderton CS Collaborative","Souderton CS Collaborative","Yes","-2","25","28","30","27","29","25","22","16","20","-2","-2","-2","-2","-2","1","No","Souderton","222","18964","0","Regular School","0",NA,NA,NA,NA,40.309618,-75.319973,NA,NA,"162","0","31","9","12","0","8","4200070","1234633701234","420007000514","123463370"
"16","Methacton SD","Skyview Upper El Sch","No","-2","-2","-2","-2","-2","-2","372","429","-2","-2","-2","-2","-2","-2","-2","2","No","Eagleville","801","19403","14.481897627964999","Regular School","116","23643","6024","24887","12277",40.14883,-75.42346,"NA","NA","566","2","132","19","27","0","55","4214250","1234653031234","421425007347","123465303"
"17","Eastern Lebanon County SD","Fort Zeller El Sch","No","-2","107","103","102","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Richland","312","17087","26.602564102564102","Regular School","83","11485","1232","14240","7818",40.355846,-76.234438,"95.68","63.89","294","1","2","2","13","0","0","4208460","1133823031133","420846006611","113382303"
"18","Maritime Academy Charter School","Maritime Academy CS","Yes","-2","-2","-2","26","48","70","95","92","96","107","80","77","62","72","-2","4","No","Philadelphia","825","19137","68.606060606060609","Regular School","566",NA,NA,NA,NA,40.00907,-75.068781,NA,NA,"324","5","38","222","222","0","14","4200123","1265100141265","420012300759","126510014"
"19","Panther Valley SD","Panther Valley El Sch","No","-2","105","137","132","132","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Nesquehoning","506","18240","64.822134387351696","Regular School","328","7849","479","8860","5227",40.866398,-75.811801,"93.6","50","437","0","3","10","34","0","22","4218450","1211366031211","421845001322","121136603"
"20","Bethlehem Area SD","Clearview El Sch","No","-2","52","50","55","74","63","48","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bethlehem","342","18018","63.742690058479532","Regular School","218","70992","23674","79240","44762",40.63672,-75.420087,"95.78","47.57","125","0","7","22","168","1","19","4203570","1204810021204","420357003453","120481002"
"21","Chichester SD","Hilltop El Sch","No","-2","70","87","79","77","71","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Aston","384","19014","34.1145833333333","Regular School","131","15252","1059","16982","9237",39.850301,-75.437662,"95.96","68.569999999999993","246","0","20","60","25","0","33","4205910","1252313031252","420591005322","125231303"
"22","Council Rock SD","Richboro El Sch","No","-2","38","50","43","63","74","70","76","-2","-2","-2","-2","-2","-2","-2","1","No","Richboro","414","18954","9.1787439613526498","Regular School","38","49287","8984","50630","26086",40.210168,-75.004249,"96.52","75.98","372","1","24","3","12","2","0","4206960","1220923531220","420696001087","122092353"
"23","Jenkintown SD","Jenkintown El Sch","No","-2","48","44","53","46","48","61","52","-2","-2","-2","-2","-2","-2","-2","1","No","Jenkintown","352","19046","14.488636363636363","Regular School","51","3056","460","3101","1947",40.095372,-75.134185,"96.74","86.34","280","1","8","34","11","0","18","4212420","1234638031234","421242003276","123463803"
"24","Bristol Township SD","Truman SHS","No","0","-2","-2","-2","-2","-2","-2","-2","-2","-2","454","413","359","348","-2","3","No","Levittown","1574","19057","59.085133418043199","Regular School","930","32835","6020","37338","19440",40.134347,-74.860779,"92.93","70.37","941","4","49","293","208","1","78","4204230","1220913521220","420423001029","122091352"
"25","Shenandoah Valley SD","Shenandoah Valley JSHS","No","-2","-2","-2","-2","-2","-2","-2","-2","75","76","99","58","75","51","-2","3","No","Shenandoah","434","17976","100","Regular School","434","4642","837","5560","3294",40.818715,-76.208725,"93.23","47.81","264","0","3","15","150","0","2","4221490","1295472031295","422149003940","129547203"
"26","Norristown Area SD","Paul V Fly El Sch","No","-2","116","110","119","86","122","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Norristown","553","19403","56.057866184448464","Regular School","310","40354","11945","46387","25634",40.157401,-75.361358,"96.21","61.45","216","2","20","123","148","0","44","4216980","1234656021234","421698005253","123465602"
"27","Avon Grove CS","Avon Grove CS","Yes","-2","182","184","157","131","146","146","153","119","127","82","81","79","68","-2","4","No","West Grove","1655","19390","21.570996978851962","Regular School","357",NA,NA,NA,NA,39.824538,-75.804672,NA,NA,"1287","2","77","50","184","3","52","4200101","1241500031241","420010100656","124150003"
"28","Philadelphia City SD","McClure Alexander K Sch","No","40","102","115","117","91","104","92","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","661","19140","100","Regular School","661","855213","325401","1035252","582594",40.015078,-75.13759,"92.47","17.69","2","1","4","188","400","0","66","4218990","1265150011265","421899006534","126515001"
"29","Spring-Ford Area SD","Upper Providence El Sch","No","-2","55","79","87","108","129","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Royersford","458","19468","8.5152838427947604","Regular School","39","31935","3916","33365","18307",40.18943,-75.510762,NA,NA,"362","0","51","13","10","0","22","4222560","1234673031234","422256000716","123467303"
"30","Schuylkill Technology Centers","Schuylkill Technology Centers-North Camp","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","No","Frackville","0","17931","?","Vocational Education School","0",NA,NA,NA,NA,40.776266,-76.228458,NA,NA,"0","0","0","0","0","0","0","4280620","1295469071295","428062007103","129546907"
"31","Philadelphia City SD","Pennell Joseph Sch","No","32","63","60","62","71","71","51","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","410","19141","100","Regular School","410","855213","325401","1035252","582594",40.043385,-75.1508,"91.63","17.86","3","1","0","393","7","0","6","4218990","1265150011265","421899003722","126515001"
"32","Lehighton Area SD","Lehighton Area HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","175","159","147","164","-2","3","No","Lehighton","645","18235","40.310077519379803","Regular School","260","11345","473","12975","7081",40.82787,-75.7272,"95.02","76.77","596","1","1","14","26","0","7","4213500","1211355031211","421350001315","121135503"
"33","Philadelphia City SD","Marshall Thurgood","No","37","89","93","80","92","85","77","79","66","74","-2","-2","-2","-2","-2","1","No","Philadelphia","772","19120","100","Regular School","772","855213","325401","1035252","582594",40.030123,-75.134535,NA,NA,"8","1","31","450","182","0","100","4218990","1265150011265","421899000329","126515001"
"34","Conrad Weiser Area SD","Conrad Weiser HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","212","237","216","224","-2","3","No","Robesonia","889","19551","28.683914510686165","Regular School","255","12041","1555","13549","7018",40.34698,-76.118,NA,NA,"734","2","17","61","70","1","4","4206780","1140611031140","420678000777","114061103"
"35","South Eastern SD","South Eastern MS","No","-2","-2","-2","-2","-2","-2","-2","-2","216","239","-2","-2","-2","-2","-2","2","No","Fawn Grove","455","17321","28.791208791208792","Regular School","131","11839","497","13531","7104",39.72733,-76.450611,NA,NA,"436","0","3","5","4","0","7","4222170","1126762031126","422217000611","112676203"
"36","Hanover Public SD","Washington El Sch","No","-2","39","59","40","36","45","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Hanover","219","17331","45.662100456621005","Regular School","100","9209","1204","10778","6710",39.816845,-76.971534,"96.13","67.06","178","5","1","5","25","0","5","4211450","1126728031126","421145004568","112672803"
"37","Philadelphia City SD","Bryant William C Sch","No","71","57","56","63","67","39","52","46","48","40","-2","-2","-2","-2","-2","1","No","Philadelphia","539","19143","100","Regular School","539","855213","325401","1035252","582594",39.952868,-75.243383,"90.26","20.2","3","2","0","509","8","0","17","4218990","1265150011265","421899003601","126515001"
"38","Harrisburg City SD","Melrose Sch","No","-2","114","129","133","123","120","1","-2","1","4","-2","-2","-2","-2","-2","1","No","Harrisburg","625","17104","78.72","Regular School","492","24137","9097","30641","19981",40.262268,-76.85452,NA,NA,"23","1","75","327","184","0","15","4211580","1152227521152","421158007483","115222752"
"39","Kennett Consolidated SD","Bancroft El Sch","No","-2","-2","94","93","95","118","112","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Kennett Square","512","19348","54.4921875","Regular School","279","15299","6977","18737","9539",39.84661,-75.752271,NA,NA,"212","1","7","7","274","0","11","4212690","1241540031241","421269007387","124154003"
"40","Panther Valley SD","Panther Valley SHS","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Lansford",NA,"18232","?","Regular School",NA,"7849","479","8860","5227",40.842186,-75.850406,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4218450","1211366031211","421845006693","121136603"
"41","Brandywine Heights Area SD","Brandywine Intrmd Sch","No","-2","-2","-2","-2","-2","99","120","-2","-2","-2","-2","-2","-2","-2","-2","2","No","Topton","219","19562","27.853881278538815","Regular School","61","8588","475","9852","5234",40.497108,-75.702696,NA,NA,"202","0","3","3","10","0","1","4204050","1140608531140","420405007426","114060853"
"42","Philadelphia City SD","Fox Chase Sch","No","-2","94","79","67","84","90","72","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","486","19111","100","Regular School","486","855213","325401","1035252","582594",40.074971,-75.08087,"94.78","53.21","207","3","34","105","67","0","70","4218990","1265150011265","421899003765","126515001"
"43","Bangor Area SD","Bangor Area MS","No","-2","-2","-2","-2","-2","-2","-2","-2","256","234","-2","-2","-2","-2","-2","2","No","Bangor","490","18013","42.448979591836732","Regular School","208","14496","1149","16318","8446",40.875526,-75.151353,"95.19","64.66","446","1","6","5","28","0","4","4203000","1204808031204","420300005257","120480803"
"44","Perkiomen Valley SD","Perkiomen Valley MS-East","No","-2","-2","-2","-2","-2","-2","-2","271","267","242","-2","-2","-2","-2","-2","2","No","Collegeville","780","19426","10.8974358974358","Regular School","85","24408","3396","26132","12508",40.217892,-75.462138,"97.3","81.87","642","1","58","42","32","2","3","4218930","1234661031234","421893003326","123466103"
"45","Rose Tree Media SD","Media El Sch","No","-2","60","73","72","85","75","87","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Media","452","19063","15.265486725663701","Regular School","69","25431","3248","26143","14363",39.917995,-75.3868,"96.88","87.95","351","0","34","29","17","0","21","4220550","1252379031252","422055006514","125237903"
"46","Philadelphia City SD","Franklin LC","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","265","243","210","150","-2","3","Yes","Philadelphia","868","19130","100","Regular School","868","855213","325401","1035252","582594",39.965136,-75.163113,"90.69","59.68","104","0","100","441","199","0","24","4218990","1265150011265","421899006822","126515001"
"47","Truebright Science Academy CS","Truebright Science Academy CS","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Philadelphia",NA,"19120","?","Regular School",NA,NA,NA,NA,NA,40.02485,-75.130971,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4200759","1715102931715","420075906084","171510293"
"48","Bethlehem Area SD","East Hills MS","No","-2","-2","-2","-2","-2","-2","-2","371","351","346","-2","-2","-2","-2","-2","2","No","Bethlehem","1068","18017","41.479400749063601","Regular School","443","70992","23674","79240","44762",40.664017,-75.344841,"95.63","59.84","665","3","49","84","252","0","15","4203570","1204810021204","420357004956","120481002"
"49","Tredyffrin-Easttown SD","Valley Forge El Sch","No","-2","64","114","113","127","139","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Wayne","557","19087","4.4883303411130999","Regular School","25","27390","5536","27926","15829",40.07616,-75.43653,"96.58","88.03","361","0","137","10","20","0","29","4223640","1241578021241","422364001438","124157802"
"50","Blue Ridge SD","Blue Ridge HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","64","75","88","64","-2","3","No","New Milford","291","18834","48.797250859106526","Regular School","142","4852","244","5541","3249",41.873446,-75.725138,"93.61","76.47","268","1","3","6","12","1","0","4203900","1195810031195","420390004034","119581003"
"51","Lower Dauphin SD","Price","No","-2","-2","-2","-2","-2","-2","-2","0","2","2","3","1","1","6","-2","4","No","Hummelstown","15","17036","80","Regular School","12","16276","1234","17910","10040",40.263892,-76.705307,NA,NA,"10","0","0","3","1","0","1","4214100","1152240031152","421410000881","115224003"
"52","Lehighton Area SD","Franklin El Sch","No","-2","56","49","50","67","50","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Lehighton","272","18235","41.544117647058826","Regular School","113","11345","473","12975","7081",40.844873,-75.684974,"96.22","68.97","256","1","0","4","7","0","4","4213500","1211355031211","421350001313","121135503"
"53","Neshaminy SD","Maple Point MS","No","-2","-2","-2","-2","-2","-2","308","326","288","317","-2","-2","-2","-2","-2","2","No","Langhorne","1239","19047","21.468926553672315","Regular School","266","47567","7513","50548","25284",40.20594,-74.899905,NA,NA,"1022","3","54","75","60","0","25","4216410","1220975021220","421641000103","122097502"
"54","Pleasant Valley SD","Pleasant Valley HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","431","454","445","419","-2","3","No","Brodheadsville","1749","18322","41.337907375643198","Regular School","723","21901","2594","24368","11765",40.91467,-75.41429,"92.05","85.34","1329","7","7","182","189","24","11","4219290","1204552031204","421929003210","120455203"
"55","Philadelphia City SD","Sharswood George Sch","No","36","65","66","50","54","56","52","59","77","61","-2","-2","-2","-2","-2","1","No","Philadelphia","576","19148","100","Regular School","576","855213","325401","1035252","582594",39.918735,-75.151114,"92.28","37.5","285","3","87","66","65","0","70","4218990","1265150011265","421899003653","126515001"
"56","Blue Ridge SD","Blue Ridge El Sch","No","0","141","87","65","82","81","67","-2","-2","-2","-2","-2","-2","-2","-2","1","No","New Milford","523","18834","45.506692160611799","Regular School","238","4852","244","5541","3249",41.873446,-75.725138,"95.58","60.09","484","4","6","8","19","0","2","4203900","1195810031195","420390006891","119581003"
"57","Philadelphia City SD","Kensington Urban Education Academy","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","82","96","90","76","-2","3","No","Philadelphia","344","19125","100","Regular School","344","855213","325401","1035252","582594",39.98481,-75.126911,NA,NA,"19","0","4","121","195","0","5","4218990","1265150011265","421899007350","126515001"
"58","Perkiomen Valley SD","Skippack El Sch","No","-2","103","117","133","116","132","129","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Collegeville","730","19426","8.4931506849314999","Regular School","62","24408","3396","26132","12508",40.218514,-75.41972,"NA","NA","637","1","39","17","24","0","12","4218930","1234661031234","421893000382","123466103"
"59","Boyertown Area SD","Boyertown Area JHS-West","No","-2","-2","-2","-2","-2","-2","-2","-2","279","246","286","-2","-2","-2","-2","2","No","Boyertown","811","19512","30.3329223181257","Regular School","246","31489","1225","34328","18524",40.32637,-75.63173,"95.52","70.400000000000006","753","1","20","8","17","0","12","4203960","1140607531140","420396006305","114060753"
"60","Delaware Valley SD","Delaware Valley HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","404","411","379","382","-2","3","No","Milford","1576","18337","33.629441624365484","Regular School","530","18810","2299","20618","10463",41.348295,-74.739222,"93.91","89.69","1298","7","36","45","149","1","40","4207530","1205220031205","420753005261","120522003"
"61","Western Montgomery CTC","Western Montgomery CTC","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","No","Limerick","0","19468","?","Vocational Education School","0",NA,NA,NA,NA,40.236466,-75.507877,NA,NA,"0","0","0","0","0","0","0","4280360","1234690071234","428036007082","123469007"
"62","Owen J Roberts SD","Owen J Roberts HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","415","410","367","385","-2","3","No","Pottstown","1577","19465","16.043119847812299","Regular School","253","22008","1874","23451","12325",40.176805,-75.656453,"94.79","88.43","1401","4","33","40","58","0","41","4218270","1241566031241","421827001406","124156603"
"63","Wilkes-Barre Area SD","Elmer L Meyers JSHS","No","-2","-2","-2","-2","-2","-2","-2","-2","147","144","147","164","140","143","-2","3","No","Wilkes Barre","885","18702","100","Regular School","885","34249","7130","39729","23215",41.23902,-75.908167,"92.11","42.04","363","0","21","220","250","1","30","4226300","1184088521184","422630003009","118408852"
"64","West Chester Area SD","Sarah W Starkweather El Sch","No","-2","82","90","98","95","109","106","-2","-2","-2","-2","-2","-2","-2","-2","1","No","West Chester","580","19382","13.275862068965518","Regular School","77","69341","10378","72305","41059",39.931552,-75.589204,NA,NA,"457","0","35","39","46","1","2","4225290","1241590021241","422529010012","124159002"
"65","North Penn SD","General Nash El Sch","No","-2","36","56","47","61","50","57","53","-2","-2","-2","-2","-2","-2","-2","1","No","Harleysville","360","19438","18.055555555555557","Regular School","65","68031","17577","72148","39113",40.2353,-75.346973,"96.36","87.56","273","0","44","14","11","0","18","4217280","1234657021234","421728006907","123465702"
"66","West Side CTC","West Side CTC","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","111","100","78","76","-2","3","No","Kingston","365","18704","63.013698630136986","Vocational Education School","230",NA,NA,NA,NA,41.278754,-75.902306,"88.95","31.45","318","2","0","14","21","0","10","4225870","1184087071184","422587005059","118408707"
"67","Pennridge SD","Pennridge South MS","No","-2","-2","-2","-2","-2","-2","-2","161","179","147","-2","-2","-2","-2","-2","2","No","Perkasie","487","18944","27.310061601642701","Regular School","133","32011","3206","34300","18506",40.366918,-75.304931,"93.97","68.739999999999995","442","0","9","13","20","0","3","4218750","1220981031220","421875001099","122098103"
"68","East Penn SD","Lincoln El Sch","No","-2","57","67","61","75","64","77","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Emmaus","401","18049","39.152119700748131","Regular School","157","37069","5328","39672","22448",40.53974,-75.49474,"95.91","70.47","311","1","12","13","45","0","19","4208550","1213923031213","420855002802","121392303"
"69","Northeastern York SD","York Haven El Sch","No","-2","64","64","69","62","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","York Haven","259","17370","56.37065637065637","Regular School","146","14414","1394","16488","9009",40.106905,-76.71766,NA,NA,"227","2","2","3","8","0","17","4217520","1126744031126","421752009988","112674403"
"70","Central Dauphin SD","Phillips El Sch","No","-2","81","49","62","53","58","61","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Harrisburg","364","17109","58.516483516483518","Regular School","213","61115","9050","66113","37434",40.29249,-76.80378,"96.41","50.54","163","1","40","74","55","0","31","4205400","1152214021152","420540001779","115221402"
"71","Salisbury Township SD","Salisbury MS","No","-2","-2","-2","-2","-2","-2","-2","116","136","127","-2","-2","-2","-2","-2","2","No","Allentown","379","18103","31.926121372031599","Regular School","121","9459","1512","10204","5284",40.559977,-75.503019,"94.89","61.97","291","0","9","11","43","0","25","4220730","1213956031213","422073005365","121395603"
"72","Hazleton Area SD","Valley El/MS","No","-2","76","93","124","111","105","125","107","138","123","-2","-2","-2","-2","-2","1","No","Sugarloaf","1002","18249","100","Regular School","1002","42540","16452","49823","28188",40.988398,-76.07496,NA,NA,"921","3","15","10","42","0","11","4211700","1184033021184","421170009996","118403302"
"73","Stroudsburg Area SD","B F Morey El Sch","No","-2","53","36","50","41","45","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Stroudsburg","225","18360","50.2222222222222","Regular School","113","20357","5462","22891","11713",40.98384,-75.202036,"94.65","57.3","117","0","8","25","61","2","12","4222860","1204560031204","422286003221","120456003"
"74","Neshaminy SD","Neshaminy HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","644","640","585","628","-2","3","No","Langhorne","2497","19047","21.065278334000801","Regular School","526","47567","7513","50548","25284",40.15849,-74.948046,"92.44","81.23","2136","1","99","125","89","1","46","4216410","1220975021220","421641006455","122097502"
"75","Reading SD","Tenth & Penn El Sch","No","0","122","106","86","84","82","79","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Reading","559","19601","100","Regular School","559","32672","43160","49945","29019",40.33539,-75.918426,NA,NA,"24","0","7","41","481","0","6","4220040","1140670021140","422004000284","114067002"
"76","Philadelphia City SD","Randolph A. Philip AVT HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","156","146","124","128","-2","3","No","Philadelphia","554","19129","100","Vocational Education School","554","855213","325401","1035252","582594",40.009023,-75.179223,NA,NA,"9","1","2","503","35","0","4","4218990","1265150011265","421899000826","126515001"
"77","Montoursville Area SD","C E McCall MS","No","-2","-2","-2","-2","-2","-2","156","144","170","144","-2","-2","-2","-2","-2","2","No","Montoursville","614","17754","27.850162866449512","Regular School","171","9017","289","9807","5427",41.25499,-76.90637,"96.06","72.88","582","1","4","5","12","2","8","4215750","1174151031174","421575005343","117415103"
"78","Collegium CS","Collegium CS","Yes","-2","467","369","312","280","243","209","189","136","127","109","86","75","61","-2","4","No","Exton","2663","19341","26.286143447239954","Regular School","700",NA,NA,NA,NA,40.01991,-75.660071,NA,NA,"1253","4","292","442","486","3","183","4200050","1241533201241","420005000485","124153320"
"79","Philadelphia City SD","Kensington Urban Education Academy","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","82","96","90","76","-2","3","No","Philadelphia","344","19125","100","Regular School","344","855213","325401","1035252","582594",39.98481,-75.126911,"NA","NA","19","0","4","121","195","0","5","4218990","1265150011265","421899007350","126515001"
"80","Daniel Boone Area SD","Birdsboro El Ctr","No","-2","-2","-2","-2","148","136","125","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Birdsboro","409","19508","45.965770171149146","Regular School","188","13430","1158","14645","7952",40.263357,-75.814887,NA,NA,"344","0","3","30","19","1","12","4207290","1140615031140","420729009946","114061503"
"81","Philadelphia Montessori CS","Philadelphia Montessori CS","Yes","0","23","25","27","26","26","27","18","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","172","19142","-0.58139534883720934","Regular School","-1",NA,NA,NA,NA,39.916443,-75.245469,NA,NA,"3","0","1","163","1","0","4","4200130","1265100161265","420013000849","126510016"
"82","East Penn SD","Alburtis El Sch","No","-2","54","61","41","59","59","45","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Alburtis","319","18011","35.109717868338556","Regular School","112","37069","5328","39672","22448",40.507803,-75.606476,"96.14","69.18","226","0","10","16","52","0","15","4208550","1213923031213","420855002799","121392303"
"83","Council Rock SD","Council Rock HS North","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","424","421","440","439","-2","3","No","Newtown","1724","18940","7.5406032482598597","Regular School","130","49287","8984","50630","26086",40.23135,-74.945271,"95.68","84.96","1497","2","160","23","41","1","0","4206960","1220923531220","420696005096","122092353"
"84","Lower Dauphin SD","Lower Dauphin HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","280","305","282","289","-2","3","No","Hummelstown","1156","17036","19.463667820069205","Regular School","225","16276","1234","17910","10040",40.26002,-76.705837,"94.67","86.90","1019","1","17","15","66","0","38","4214100","1152240031152","421410001776","115224003"
"85","Shikellamy SD","Shikellamy MS","No","-2","-2","-2","-2","-2","-2","-2","5","210","201","-2","-2","-2","-2","-2","2","No","Sunbury","416","17801","57.932692307692307","Regular School","241","13977","621","16295","9595",40.856472,-76.791304,NA,NA,"335","1","0","18","46","1","15","4221540","1164966031164","422154007395","116496603"
